Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Internet_Access,Tutoring_Sessions,Physical_Activity,Learning_Disabilities,Exam_Score,Passed,Parental_Involvement_Low,Parental_Involvement_Medium,Access_to_Resources_Low,Access_to_Resources_Medium,Motivation_Level_Low,Motivation_Level_Medium,Family_Income_Low,Family_Income_Medium,Teacher_Quality_Low,Teacher_Quality_Medium,School_Type_Public,Peer_Influence_Neutral,Peer_Influence_Positive,Parental_Education_Level_High School,Parental_Education_Level_Postgraduate,Distance_from_Home_Moderate,Distance_from_Home_Near,Gender_Male
23,84,0,7,73,1,0,3,0,67,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1
19,64,0,8,59,1,2,4,0,61,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0
24,98,1,7,91,1,2,4,0,74,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1
29,89,1,8,98,1,1,4,0,71,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
19,92,1,6,65,1,3,4,0,70,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
19,88,1,8,89,1,3,3,0,71,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1
29,84,1,7,68,1,1,2,0,67,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1
25,78,1,6,50,1,1,2,0,66,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
17,94,0,6,80,1,0,1,0,69,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1
23,98,1,8,71,1,0,5,0,72,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1
17,80,0,8,88,0,4,4,0,68,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
17,97,1,6,87,1,2,2,0,71,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1
21,83,1,8,97,1,2,4,0,70,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1
9,82,1,8,72,1,2,3,0,66,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1
10,78,1,8,74,1,1,4,0,65,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1
17,68,0,8,70,1,2,4,0,64,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
14,60,1,10,65,1,0,3,0,60,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
22,70,1,6,82,1,1,3,0,65,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0
15,80,1,9,91,1,3,2,0,67,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0
12,75,1,7,58,1,3,4,0,66,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1
29,78,0,5,99,1,0,1,0,69,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0
19,99,0,6,84,1,1,3,0,72,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1
20,74,0,8,89,1,1,2,0,66,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0
11,78,1,8,100,1,1,3,0,66,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1
17,65,1,5,75,1,2,3,0,63,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0
21,62,1,6,54,1,0,3,0,64,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
13,91,0,6,90,1,1,2,1,65,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0
22,83,1,6,94,1,0,2,0,71,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1
16,90,0,4,58,1,1,3,0,66,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0
18,66,0,4,51,1,2,2,0,64,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1
16,83,0,6,57,1,0,4,1,63,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0
31,70,1,7,66,1,1,3,0,69,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
20,69,1,8,96,1,2,3,0,67,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1
14,60,0,5,50,1,2,3,0,61,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0
25,65,0,5,90,1,2,3,0,68,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0
13,72,0,6,93,1,1,3,0,61,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1
21,65,1,7,91,1,2,3,0,64,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0
